Length,OptTime,TdTime
10,6.04295802116394,3.097273826599121
20,7.668042182922363,5.1021575927734375e-5
30,13.724225044250488,6.508827209472656e-5
40,19.759495973587036,5.1021575927734375e-5
50,34.83522415161133,5.0067901611328125e-5
60,38.32918190956116,8.868340015411377
70,56.96784210205078,7.295608520507812e-5
80,118.63671112060547,6.389617919921875e-5
90,83.80670690536499,7.009506225585938e-5
100,162.42541003227234,7.700920104980469e-5
110,147.84806418418884,5.309839963912964
120,179.22236394882202,9.608268737792969e-5
130,242.36086893081665,0.00010919570922851562
140,309.15177297592163,8.082389831542969e-5
150,298.52457094192505,7.200241088867188e-5
160,510.5283670425415,9.799003601074219e-5
170,320.35651779174805,9.107589721679688e-5
180,441.74050283432007,0.00010180473327636719
190,544.3777008056641,0.0001270771026611328
200,844.5247068405151,0.00013303756713867188
210,625.1945509910583,0.0001010894775390625
220,745.4394907951355,0.00010800361633300781
230,1162.5827720165253,0.0001270771026611328
240,1100.0352652072906,0.0001418590545654297
250,916.123034954071,0.00015401840209960938
260,1080.3189978599548,0.00016617774963378906
270,721.6448571681976,0.00014090538024902344
280,2268.826371192932,0.00016689300537109375
290,1193.1135158538818,0.00021314620971679688
300,2007.6920969486237,0.00019097328186035156
310,1029.8439030647278,0.0001819133758544922
320,1748.8857929706573,0.0001990795135498047
330,2296.240025997162,0.00023698806762695312
340,2017.0641379356384,0.0002238750457763672
350,1717.2002530097961,0.00022101402282714844
360,2449.8573768138885,0.00024199485778808594
370,3012.059489965439,0.00033211708068847656
380,2361.390914916992,0.0003409385681152344
390,2580.8556339740753,0.00023794174194335938
400,2749.1567401885986,0.00028586387634277344
410,3300.2842910289764,0.000247955322265625
420,3125.3481891155243,0.0003199577331542969
430,4192.211040019989,0.0002639293670654297
440,3500.9172489643097,0.0003018379211425781
450,3263.192449092865,0.0002868175506591797
460,5626.303642988205,0.0003559589385986328
470,3198.664393901825,0.0005519390106201172
480,4515.2372279167175,0.001074075698852539
490,3519.6733379364014,0.0003879070281982422
500,5582.769109010696,0.00036787986755371094
